date	mktname	sbtype	transformation	middleprice	quantity
089年04月15日	"台北一"	"進口"	null	200.0	20
090年04月01日	"台北一"	"進口"	null	300.0	5
090年04月03日	"台北一"	"進口"	null	300.0	5
090年04月08日	"台北一"	"進口"	null	300.0	5
090年04月11日	"台北一"	"進口"	null	300.0	100
090年04月13日	"台北一"	"進口"	null	300.0	10
090年04月20日	"台北一"	"進口"	null	300.0	30
090年04月27日	"台北一"	"進口"	null	300.0	10
090年04月28日	"台北一"	"進口"	null	300.0	10
091年04月16日	"台北一"	"進口"	null	150.0	10
091年04月17日	"台北一"	"進口"	null	90.0	90
092年04月18日	"台北一"	"進口"	null	120.0	10
093年04月02日	"台北一"	"進口"	null	300.0	100
093年04月06日	"台北一"	"進口"	null	300.0	100
093年04月07日	"台北一"	"進口"	null	300.0	200
093年04月08日	"台北一"	"進口"	null	300.0	10
093年04月11日	"台北一"	"進口"	null	300.0	100
093年04月13日	"台北一"	"進口"	null	200.0	50
093年04月16日	"台北一"	"進口"	null	200.0	70
093年04月17日	"台北一"	"進口"	null	200.0	50
093年04月18日	"台北一"	"進口"	null	200.0	50
093年04月22日	"台北一"	"進口"	null	300.0	10
093年04月27日	"台北一"	"進口"	null	300.0	75
094年04月02日	"台北一"	"進口"	null	250.0	10
094年04月10日	"台北一"	"進口"	null	250.0	10
094年04月23日	"台北一"	"進口"	null	250.0	10
095年04月03日	"台北一"	"進口"	null	230.0	20
095年04月12日	"台北一"	"進口"	null	230.0	10
096年04月03日	"台北二"	"進口"	null	211.1	15
096年04月08日	"台北一"	"進口"	null	220.0	30
096年04月11日	"台北一"	"進口"	null	220.0	30
096年04月13日	"台北一"	"進口"	null	220.0	30
096年04月14日	"台北一"	"進口"	null	220.0	40
096年04月17日	"台北一"	"進口"	null	250.0	50
096年04月24日	"台北一"	"進口"	null	250.0	50
096年04月25日	"台北一"	"進口"	null	90.0	20
097年04月01日	"台北一"	"進口"	null	220.0	20
097年04月08日	"台北一"	"進口"	null	220.0	30
097年04月09日	"台北一"	"進口"	null	220.0	30
097年04月12日	"台北一"	"進口"	null	220.0	30
097年04月13日	"台北一"	"進口"	null	220.0	30
097年04月16日	"台北二"	"進口"	null	220.0	20
097年04月17日	"台北一"	"進口"	null	220.0	20
097年04月18日	"台北二"	"進口"	null	180.0	10
097年04月19日	"台北一"	"進口"	null	220.0	20
097年04月25日	"台北一"	"進口"	null	220.0	20
097年04月26日	"台北一"	"進口"	null	250.0	30
097年04月30日	"台北一"	"進口"	null	220.0	20
098年04月09日	"台北一"	"進口"	null	220.0	10
098年04月10日	"台北二"	"進口"	null	200.0	15
098年04月10日	"台北一"	"進口"	null	220.0	50
098年04月15日	"台北一"	"進口"	null	220.0	20
098年04月17日	"台北一"	"進口"	null	220.0	40
098年04月24日	"台北二"	"進口"	null	180.0	10
098年04月25日	"台北一"	"進口"	null	220.0	30
098年04月29日	"台北二"	"進口"	null	220.0	30
099年04月03日	"台北二"	"進口"	null	180.0	15
099年04月03日	"台北一"	"進口"	null	220.0	20
099年04月08日	"台北一"	"進口"	null	220.0	1
099年04月17日	"台北二"	"進口"	null	180.0	20
099年04月24日	"台北二"	"進口"	null	220.0	10
099年04月24日	"台北一"	"進口"	null	220.0	45
100年04月03日	"台北一"	"進口"	null	190.3	22
100年04月04日	"台北一"	"進口"	null	149.0	13
100年04月10日	"台北一"	"進口"	null	130.0	3
100年04月14日	"台北一"	"進口"	null	220.0	20
100年04月15日	"台北二"	"進口"	null	220.0	10
100年04月15日	"台北一"	"進口"	null	220.0	20
100年04月20日	"台北一"	"進口"	null	214.2	32
100年04月22日	"台北二"	"進口"	null	220.0	10
100年04月22日	"台北一"	"進口"	null	200.0	12
100年04月23日	"台北一"	"進口"	null	130.0	20
100年04月27日	"台北一"	"進口"	null	150.0	30
100年04月29日	"台北二"	"進口"	null	220.0	10
100年04月29日	"台北一"	"進口"	null	200.0	12
100年04月30日	"台北一"	"進口"	null	220.0	20
101年04月01日	"台北一"	"進口"	null	125.8	60
101年04月02日	"台北一"	"進口"	null	146.9	90
101年04月03日	"台北一"	"進口"	null	149.2	110
101年04月06日	"台北二"	"進口"	null	250.0	10
101年04月08日	"台北一"	"進口"	null	220.0	10
101年04月10日	"台北一"	"進口"	null	104.0	50
101年04月11日	"台北一"	"進口"	null	95.0	40
101年04月12日	"台北一"	"進口"	null	110.4	48
101年04月14日	"台北一"	"進口"	null	85.5	40
101年04月20日	"台北一"	"進口"	null	225.0	20
101年04月22日	"台北一"	"進口"	null	250.0	10
101年04月24日	"台北一"	"進口"	null	250.0	20
101年04月27日	"台北一"	"進口"	null	250.0	10
101年04月28日	"台北一"	"進口"	null	200.0	30
102年04月02日	"台北一"	"進口"	null	250.0	30
102年04月03日	"台北一"	"進口"	null	250.0	20
102年04月06日	"台北二"	"進口"	null	150.0	20
102年04月06日	"台北一"	"進口"	null	250.0	30
102年04月11日	"台北一"	"進口"	null	250.0	10
102年04月13日	"台北一"	"進口"	null	250.0	10
102年04月14日	"台北一"	"進口"	null	250.0	10
102年04月17日	"台北一"	"進口"	null	250.0	30
102年04月18日	"台北一"	"進口"	null	40.0	10
102年04月18日	"台中市"	"進口"	null	100.0	10
102年04月19日	"台北一"	"進口"	null	250.0	10
102年04月20日	"台北一"	"進口"	null	250.0	20
102年04月21日	"台北一"	"進口"	null	250.0	30
102年04月23日	"台北一"	"進口"	null	250.0	30
102年04月24日	"台北一"	"進口"	null	250.0	30
102年04月25日	"台北二"	"進口"	null	200.0	20
102年04月26日	"台北一"	"進口"	null	250.0	20
102年04月27日	"台北一"	"進口"	null	250.0	10
102年04月28日	"台北一"	"進口"	null	250.0	20
102年04月30日	"台北一"	"進口"	null	250.0	30
088年08月12日	"台北一"	"進口"	null	500.0	10
088年08月21日	"台北一"	"進口"	null	500.0	10
089年08月03日	"台北一"	"進口"	null	300.0	20
089年08月05日	"台北一"	"進口"	null	10.0	11
089年08月06日	"台北一"	"進口"	null	11.6	53
089年08月07日	"台北一"	"進口"	null	8.6	28
089年08月08日	"台北一"	"進口"	null	300.0	10
089年08月17日	"台北一"	"進口"	null	15.5	207
089年08月18日	"台北一"	"進口"	null	9.9	226
089年08月19日	"台北一"	"進口"	null	5.0	40
089年08月21日	"台北一"	"進口"	null	10.0	12
089年08月23日	"台北一"	"進口"	null	10.0	24
090年08月09日	"台北一"	"進口"	null	300.0	10
090年08月26日	"台北一"	"進口"	null	150.0	10
091年08月04日	"高雄市"	"進口"	null	10.0	24
092年08月29日	"台北一"	"進口"	null	300.0	10
093年08月13日	"台北一"	"進口"	null	300.0	30
093年08月18日	"台北一"	"進口"	null	300.0	100
093年08月27日	"台北一"	"進口"	null	300.0	50
093年08月29日	"台北一"	"進口"	null	250.0	200
094年08月07日	"台北一"	"進口"	null	250.0	6
094年08月23日	"台北一"	"進口"	null	250.0	6
094年08月28日	"台北一"	"進口"	null	250.0	10
095年08月18日	"台北二"	"進口"	null	220.0	20
095年08月26日	"台北二"	"進口"	null	160.0	10
096年08月18日	"台北二"	"進口"	null	180.0	10
096年08月24日	"台北一"	"進口"	null	220.0	20
097年08月05日	"台北二"	"進口"	null	200.0	10
097年08月05日	"台北一"	"進口"	null	220.0	10
097年08月05日	"鳳山區"	"進口"	null	25.0	10
097年08月06日	"台北二"	"進口"	null	180.0	20
097年08月20日	"台北二"	"進口"	null	180.0	40
097年08月21日	"台北一"	"進口"	null	220.0	20
097年08月28日	"鳳山區"	"進口"	null	16.2	221
098年08月05日	"台北一"	"進口"	null	220.0	20
098年08月26日	"台北一"	"進口"	null	220.0	5
098年08月28日	"台北一"	"進口"	null	220.0	10
099年08月06日	"台北二"	"進口"	null	220.0	30
100年08月11日	"台北一"	"進口"	null	200.0	30
100年08月14日	"台北二"	"進口"	null	220.0	20
100年08月25日	"台北二"	"進口"	null	220.0	20
100年08月26日	"台北一"	"進口"	null	200.0	30
101年08月01日	"台北一"	"進口"	null	250.0	10
101年08月02日	"台北二"	"進口"	null	104.3	70
101年08月03日	"台北一"	"進口"	null	250.0	20
101年08月04日	"台北二"	"進口"	null	250.0	30
101年08月07日	"台北一"	"進口"	null	250.0	10
101年08月08日	"台北一"	"進口"	null	250.0	10
101年08月09日	"台北一"	"進口"	null	250.0	20
101年08月14日	"台北一"	"進口"	null	250.0	20
101年08月17日	"台北一"	"進口"	null	250.0	20
101年08月21日	"台北一"	"進口"	null	250.0	20
101年08月22日	"台北一"	"進口"	null	250.0	10
101年08月28日	"台北一"	"進口"	null	250.0	20
101年08月29日	"台北二"	"進口"	null	250.0	20
101年08月29日	"台北一"	"進口"	null	250.0	20
101年08月30日	"台北二"	"進口"	null	250.0	30
088年12月16日	"台北一"	"進口"	null	500.0	20
089年12月08日	"台北一"	"進口"	null	300.0	10
089年12月30日	"台北一"	"進口"	null	300.0	5
090年12月02日	"台北一"	"進口"	null	150.0	20
090年12月23日	"台北一"	"進口"	null	150.0	20
092年12月06日	"台北一"	"進口"	null	200.0	25
092年12月13日	"台北一"	"進口"	null	300.0	26
092年12月16日	"台北一"	"進口"	null	300.0	10
092年12月19日	"台北一"	"進口"	null	300.0	10
092年12月28日	"台北一"	"進口"	null	300.0	10
093年12月02日	"台北一"	"進口"	null	300.0	10
093年12月07日	"台北一"	"進口"	null	300.0	200
093年12月11日	"台北二"	"進口"	null	300.0	6
093年12月14日	"台北一"	"進口"	null	300.0	10
093年12月21日	"台北一"	"進口"	null	300.0	400
093年12月26日	"台北一"	"進口"	null	300.0	10
094年12月06日	"台北一"	"進口"	null	250.0	10
094年12月07日	"台北一"	"進口"	null	250.0	10
094年12月20日	"台北一"	"進口"	null	250.0	45
094年12月21日	"台北一"	"進口"	null	250.0	13
094年12月27日	"台北一"	"進口"	null	200.0	5
094年12月28日	"台北一"	"進口"	null	250.0	20
095年12月05日	"台北二"	"進口"	null	200.0	10
095年12月06日	"台北一"	"進口"	null	200.0	20
095年12月12日	"台北一"	"進口"	null	200.0	10
095年12月13日	"台北一"	"進口"	null	250.0	30
095年12月22日	"台北二"	"進口"	null	220.0	20
095年12月22日	"台北一"	"進口"	null	250.0	10
095年12月24日	"台北一"	"進口"	null	250.0	50
095年12月27日	"台北一"	"進口"	null	250.0	30
095年12月29日	"台北一"	"進口"	null	250.0	10
096年12月01日	"台北一"	"進口"	null	230.0	20
096年12月02日	"台北一"	"進口"	null	230.0	20
096年12月05日	"台北一"	"進口"	null	220.0	20
096年12月06日	"台北一"	"進口"	null	220.0	20
096年12月11日	"台北二"	"進口"	null	220.0	20
096年12月14日	"台北二"	"進口"	null	180.0	20
096年12月18日	"台北一"	"進口"	null	220.0	10
096年12月19日	"台北一"	"進口"	null	90.0	20
096年12月26日	"台北一"	"進口"	null	90.0	30
096年12月28日	"台北一"	"進口"	null	220.0	30
096年12月30日	"台北一"	"進口"	null	220.0	50
097年12月02日	"鳳山區"	"進口"	null	30.0	11
097年12月03日	"鳳山區"	"進口"	null	20.0	16
097年12月04日	"鳳山區"	"進口"	null	22.5	24
097年12月05日	"鳳山區"	"進口"	null	21.8	18
097年12月06日	"鳳山區"	"進口"	null	23.7	28
097年12月07日	"台北一"	"進口"	null	220.0	10
097年12月07日	"鳳山區"	"進口"	null	20.0	56
097年12月09日	"鳳山區"	"進口"	null	20.0	25
097年12月10日	"鳳山區"	"進口"	null	20.0	20
097年12月11日	"鳳山區"	"進口"	null	33.1	9
097年12月12日	"鳳山區"	"進口"	null	16.7	12
097年12月13日	"鳳山區"	"進口"	null	16.7	6
097年12月14日	"台北一"	"進口"	null	220.0	20
097年12月16日	"台北一"	"進口"	null	220.0	30
097年12月16日	"鳳山區"	"進口"	null	20.0	28
097年12月17日	"台北二"	"進口"	null	220.0	10
097年12月17日	"鳳山區"	"進口"	null	10.0	5
097年12月18日	"台北一"	"進口"	null	250.0	20
097年12月18日	"鳳山區"	"進口"	null	25.0	4
097年12月21日	"鳳山區"	"進口"	null	10.0	8
097年12月23日	"台北二"	"進口"	null	220.0	10
097年12月23日	"鳳山區"	"進口"	null	18.0	17
097年12月25日	"鳳山區"	"進口"	null	16.7	6
097年12月27日	"鳳山區"	"進口"	null	13.6	11
097年12月28日	"台北一"	"進口"	null	220.0	20
097年12月28日	"鳳山區"	"進口"	null	10.0	5
097年12月30日	"鳳山區"	"進口"	null	10.0	18
097年12月31日	"台北二"	"進口"	null	180.0	10
097年12月31日	"鳳山區"	"進口"	null	4.6	13
098年12月26日	"台北一"	"進口"	null	220.0	25
099年12月15日	"台北二"	"進口"	null	220.0	10
099年12月25日	"台北一"	"進口"	null	90.0	20
099年12月28日	"台北二"	"進口"	null	220.0	30
100年12月03日	"台北一"	"進口"	null	150.0	10
100年12月09日	"台北一"	"進口"	null	270.0	50
100年12月11日	"台北一"	"進口"	null	130.0	10
100年12月16日	"台北一"	"進口"	null	280.0	100
100年12月17日	"台北一"	"進口"	null	290.0	25
100年12月21日	"台北二"	"進口"	null	300.0	40
100年12月21日	"台北一"	"進口"	null	290.0	50
100年12月22日	"高雄市"	"進口"	null	325.0	10
100年12月27日	"台北二"	"進口"	null	300.0	10
101年12月01日	"台北二"	"進口"	null	250.0	30
101年12月05日	"台北一"	"進口"	null	250.0	65
101年12月06日	"台北一"	"進口"	null	250.0	20
101年12月07日	"台北二"	"進口"	null	250.0	30
101年12月07日	"台北一"	"進口"	null	250.0	50
101年12月08日	"台北一"	"進口"	null	250.0	20
101年12月11日	"台北一"	"進口"	null	250.0	50
101年12月12日	"台北一"	"進口"	null	250.0	50
101年12月13日	"台北二"	"進口"	null	250.0	20
101年12月13日	"台北一"	"進口"	null	200.0	10
101年12月14日	"台北一"	"進口"	null	206.1	110
101年12月15日	"台北一"	"進口"	null	250.0	20
101年12月16日	"台北一"	"進口"	null	250.0	10
101年12月19日	"台北一"	"進口"	null	180.0	150
101年12月20日	"台北二"	"進口"	null	250.0	10
101年12月20日	"台北一"	"進口"	null	250.0	50
101年12月21日	"台北一"	"進口"	null	250.0	50
101年12月23日	"台北一"	"進口"	null	250.0	10
101年12月25日	"台北一"	"進口"	null	250.0	60
101年12月29日	"台北一"	"進口"	null	250.0	10
101年12月30日	"台北一"	"進口"	null	250.0	10
089年02月01日	"台北一"	"進口"	null	400.0	400
089年02月12日	"台北一"	"進口"	null	400.0	10
089年02月27日	"台北一"	"進口"	null	400.0	10
090年02月20日	"台北一"	"進口"	null	300.0	20
091年02月05日	"台北一"	"進口"	null	150.0	10
091年02月09日	"台北一"	"進口"	null	200.0	20
092年02月07日	"台北一"	"進口"	null	130.0	10
092年02月23日	"台北一"	"進口"	null	100.0	10
093年02月03日	"台北一"	"進口"	null	300.0	10
093年02月12日	"台北一"	"進口"	null	300.0	150
093年02月13日	"台北一"	"進口"	null	300.0	10
093年02月14日	"台北一"	"進口"	null	300.0	50
093年02月18日	"台北一"	"進口"	null	200.0	50
093年02月22日	"台北一"	"進口"	null	300.0	50
093年02月24日	"台北一"	"進口"	null	240.0	100
093年02月25日	"台北一"	"進口"	null	264.7	170
093年02月26日	"台北一"	"進口"	null	300.0	50
093年02月27日	"台北一"	"進口"	null	300.0	50
093年02月28日	"台北一"	"進口"	null	300.0	60
094年02月01日	"台北一"	"進口"	null	150.0	300
094年02月02日	"台北一"	"進口"	null	250.0	110
094年02月04日	"台北一"	"進口"	null	250.0	110
094年02月05日	"台北一"	"進口"	null	250.0	10
094年02月07日	"台北一"	"進口"	null	250.0	100
094年02月22日	"台北一"	"進口"	null	250.0	320
094年02月23日	"台北一"	"進口"	null	250.0	10
095年02月03日	"台北一"	"進口"	null	300.0	20
095年02月05日	"台北一"	"進口"	null	300.0	10
096年02月02日	"台北一"	"進口"	null	250.0	70
096年02月08日	"台北一"	"進口"	null	200.0	20
096年02月09日	"台北一"	"進口"	null	200.0	70
096年02月10日	"台北一"	"進口"	null	250.0	30
096年02月11日	"台北一"	"進口"	null	250.0	20
096年02月13日	"台北一"	"進口"	null	231.0	140
096年02月14日	"台北二"	"進口"	null	225.0	100
096年02月14日	"台北一"	"進口"	null	209.9	220
096年02月15日	"台北二"	"進口"	null	250.0	25
096年02月16日	"台北二"	"進口"	null	250.0	150
096年02月16日	"台北一"	"進口"	null	247.4	130
096年02月17日	"台北一"	"進口"	null	225.0	200
097年02月01日	"台北二"	"進口"	null	220.0	50
097年02月01日	"台北一"	"進口"	null	220.0	30
097年02月02日	"台北一"	"進口"	null	248.5	130
097年02月03日	"台北二"	"進口"	null	200.0	200
097年02月03日	"台北一"	"進口"	null	243.3	150
097年02月04日	"台北二"	"進口"	null	173.9	60
097年02月04日	"台北一"	"進口"	null	243.3	150
097年02月05日	"台北二"	"進口"	null	180.0	35
097年02月05日	"台北一"	"進口"	null	242.1	140
097年02月06日	"台北一"	"進口"	null	220.0	20
097年02月13日	"台北一"	"進口"	null	220.0	10
097年02月14日	"台北一"	"進口"	null	220.0	40
097年02月15日	"台北一"	"進口"	null	220.0	50
097年02月16日	"台北一"	"進口"	null	220.0	10
097年02月17日	"台北一"	"進口"	null	220.0	50
097年02月20日	"台北一"	"進口"	null	220.0	40
097年02月24日	"台北一"	"進口"	null	90.0	50
097年02月26日	"台北一"	"進口"	null	220.0	30
097年02月28日	"台北一"	"進口"	null	200.0	20
097年02月29日	"台北一"	"進口"	null	220.0	40
098年02月13日	"台北一"	"進口"	null	220.0	40
098年02月14日	"台北二"	"進口"	null	180.0	40
098年02月19日	"台北一"	"進口"	null	220.0	10
099年02月03日	"台北二"	"進口"	null	180.0	120
099年02月05日	"台北二"	"進口"	null	180.0	50
099年02月06日	"台北二"	"進口"	null	150.0	240
099年02月06日	"台北一"	"進口"	null	220.0	50
099年02月07日	"台北二"	"進口"	null	150.0	20
099年02月10日	"台北二"	"進口"	null	180.0	50
099年02月10日	"台北一"	"進口"	null	220.0	10
099年02月12日	"台北二"	"進口"	null	180.0	100
099年02月13日	"台北一"	"進口"	null	220.0	20
099年02月21日	"高雄市"	"進口"	null	400.0	10
100年02月01日	"台北二"	"進口"	null	220.0	50
100年02月17日	"台北二"	"進口"	null	220.0	10
100年02月26日	"台北二"	"進口"	null	220.0	20
101年02月02日	"台北一"	"進口"	null	250.0	10
101年02月03日	"台北二"	"進口"	null	250.0	20
101年02月03日	"台北一"	"進口"	null	250.0	20
101年02月09日	"台北二"	"進口"	null	250.0	20
101年02月09日	"台北一"	"進口"	null	227.8	30
101年02月10日	"台北一"	"進口"	null	200.0	50
101年02月11日	"台北一"	"進口"	null	135.0	60
101年02月12日	"台北一"	"進口"	null	91.4	70
101年02月14日	"台北一"	"進口"	null	150.0	60
101年02月15日	"台北一"	"進口"	null	123.3	30
101年02月17日	"台北一"	"進口"	null	130.0	10
101年02月18日	"台北一"	"進口"	null	220.0	30
101年02月19日	"台北一"	"進口"	null	160.0	20
101年02月19日	"高雄市"	"進口"	null	300.0	20
101年02月22日	"台北一"	"進口"	null	150.0	10
101年02月22日	"高雄市"	"進口"	null	400.0	10
101年02月23日	"台北一"	"進口"	null	290.0	30
101年02月24日	"台北一"	"進口"	null	221.3	80
101年02月25日	"台北一"	"進口"	null	180.0	50
101年02月26日	"台北一"	"進口"	null	120.0	50
101年02月28日	"台北一"	"進口"	null	100.0	50
101年02月29日	"台北一"	"進口"	null	140.0	30
102年02月01日	"台北二"	"進口"	null	121.0	100
102年02月01日	"台北一"	"進口"	null	242.9	70
102年02月02日	"台北二"	"進口"	null	60.0	50
102年02月02日	"台北一"	"進口"	null	250.0	10
102年02月03日	"台北二"	"進口"	null	95.0	80
102年02月03日	"台北一"	"進口"	null	250.0	310
102年02月05日	"台北二"	"進口"	null	129.1	110
102年02月06日	"台北二"	"進口"	null	180.0	280
102年02月06日	"台北一"	"進口"	null	150.0	50
102年02月07日	"高雄市"	"進口"	null	350.0	5
102年02月08日	"台北二"	"進口"	null	180.0	50
102年02月09日	"台北一"	"進口"	null	227.8	30
102年02月16日	"台北一"	"進口"	null	250.0	10
102年02月17日	"台北一"	"進口"	null	250.0	10
102年02月19日	"台北一"	"進口"	null	250.0	10
102年02月21日	"台北一"	"進口"	null	250.0	10
102年02月22日	"台北一"	"進口"	null	250.0	10
102年02月23日	"台北一"	"進口"	null	250.0	10
102年02月24日	"台北一"	"進口"	null	250.0	10
102年02月27日	"台北一"	"進口"	null	250.0	10
102年02月28日	"台北一"	"進口"	null	250.0	10
089年01月28日	"台北一"	"進口"	null	500.0	20
089年01月29日	"台北一"	"進口"	null	500.0	300
090年01月05日	"台北一"	"進口"	null	300.0	10
090年01月16日	"台北一"	"進口"	null	300.0	10
090年01月19日	"台北一"	"進口"	null	300.0	30
090年01月20日	"台北一"	"進口"	null	300.0	10
090年01月21日	"台北一"	"進口"	null	300.0	10
090年01月22日	"台北一"	"進口"	null	300.0	20
092年01月05日	"台北一"	"進口"	null	250.0	25
092年01月17日	"台北一"	"進口"	null	130.0	10
092年01月19日	"台北一"	"進口"	null	300.0	30
092年01月29日	"台北一"	"進口"	null	130.0	20
093年01月03日	"台北一"	"進口"	null	300.0	20
093年01月10日	"台北一"	"進口"	null	300.0	300
093年01月14日	"台北一"	"進口"	null	300.0	10
093年01月16日	"台北一"	"進口"	null	300.0	350
093年01月17日	"台北一"	"進口"	null	300.0	210
093年01月18日	"台北一"	"進口"	null	279.6	310
093年01月19日	"台北一"	"進口"	null	169.4	310
093年01月20日	"台北一"	"進口"	null	200.0	208
093年01月21日	"台北一"	"進口"	null	300.0	5
094年01月11日	"台北一"	"進口"	null	206.3	470
094年01月14日	"台北一"	"進口"	null	250.0	8
094年01月15日	"台北一"	"進口"	null	250.0	10
094年01月25日	"台北一"	"進口"	null	225.0	200
095年01月03日	"台北一"	"進口"	null	200.0	10
095年01月10日	"台北一"	"進口"	null	200.0	20
095年01月11日	"台北一"	"進口"	null	250.0	60
095年01月12日	"台北一"	"進口"	null	250.0	50
095年01月17日	"台北一"	"進口"	null	250.0	15
095年01月20日	"台北一"	"進口"	null	250.0	10
095年01月21日	"台北一"	"進口"	null	250.0	20
095年01月26日	"台北二"	"進口"	null	300.0	375
095年01月26日	"台北一"	"進口"	null	257.1	35
095年01月27日	"台北二"	"進口"	null	300.0	150
095年01月28日	"台北一"	"進口"	null	300.0	20
096年01月06日	"台北一"	"進口"	null	250.0	10
096年01月07日	"台北二"	"進口"	null	200.0	20
096年01月09日	"台北一"	"進口"	null	250.0	20
096年01月10日	"台北一"	"進口"	null	250.0	20
096年01月17日	"台北一"	"進口"	null	250.0	20
096年01月21日	"台北一"	"進口"	null	250.0	70
096年01月25日	"台北一"	"進口"	null	200.0	10
096年01月26日	"台北二"	"進口"	null	200.0	10
096年01月28日	"台北一"	"進口"	null	180.0	40
097年01月05日	"台北二"	"進口"	null	180.0	16
097年01月05日	"台北一"	"進口"	null	220.0	35
097年01月06日	"台北一"	"進口"	null	220.0	30
097年01月08日	"台北一"	"進口"	null	90.0	70
097年01月09日	"台北一"	"進口"	null	220.0	30
097年01月10日	"台北一"	"進口"	null	220.0	20
097年01月11日	"台北一"	"進口"	null	220.0	20
097年01月17日	"台北一"	"進口"	null	250.0	40
097年01月19日	"台北一"	"進口"	null	220.0	30
097年01月20日	"台北一"	"進口"	null	220.0	30
097年01月23日	"台北一"	"進口"	null	220.0	80
097年01月24日	"台北一"	"進口"	null	220.0	9
097年01月25日	"台北一"	"進口"	null	220.0	30
097年01月26日	"台北一"	"進口"	null	220.0	30
097年01月27日	"台北一"	"進口"	null	220.0	20
097年01月29日	"台北二"	"進口"	null	220.0	5
097年01月29日	"台北一"	"進口"	null	220.0	40
097年01月30日	"台北二"	"進口"	null	180.0	100
097年01月30日	"台北一"	"進口"	null	220.0	40
097年01月31日	"台北一"	"進口"	null	220.0	60
098年01月01日	"台北一"	"進口"	null	220.0	15
098年01月01日	"鳳山區"	"進口"	null	10.0	12
098年01月02日	"鳳山區"	"進口"	null	20.0	16
098年01月03日	"鳳山區"	"進口"	null	12.5	4
098年01月10日	"台北二"	"進口"	null	180.0	20
098年01月10日	"鳳山區"	"進口"	null	7.1	7
098年01月11日	"台北二"	"進口"	null	180.0	20
098年01月11日	"鳳山區"	"進口"	null	5.0	5
098年01月14日	"台北二"	"進口"	null	180.0	20
098年01月15日	"台北一"	"進口"	null	250.0	30
098年01月17日	"鳳山區"	"進口"	null	7.1	14
098年01月18日	"台北一"	"進口"	null	220.0	10
098年01月18日	"鳳山區"	"進口"	null	6.3	8
098年01月20日	"台北二"	"進口"	null	180.0	40
098年01月20日	"台北一"	"進口"	null	220.0	10
098年01月21日	"台北二"	"進口"	null	180.0	50
098年01月21日	"台北一"	"進口"	null	220.0	50
098年01月22日	"台北二"	"進口"	null	180.0	80
098年01月22日	"台北一"	"進口"	null	90.0	130
098年01月23日	"台北二"	"進口"	null	180.0	25
098年01月23日	"台北一"	"進口"	null	220.0	80
098年01月24日	"台北二"	"進口"	null	180.0	20
098年01月24日	"台北一"	"進口"	null	168.5	160
099年01月06日	"台北二"	"進口"	null	180.0	40
099年01月14日	"台北一"	"進口"	null	220.0	10
099年01月15日	"台北一"	"進口"	null	220.0	10
099年01月23日	"台北二"	"進口"	null	180.0	50
100年01月05日	"台北二"	"進口"	null	200.0	10
100年01月18日	"台北二"	"進口"	null	220.0	30
100年01月19日	"台北二"	"進口"	null	220.0	10
100年01月22日	"台北二"	"進口"	null	220.0	50
100年01月25日	"台北二"	"進口"	null	220.0	50
100年01月28日	"台北一"	"進口"	null	230.0	30
100年01月29日	"台北二"	"進口"	null	220.0	50
100年01月31日	"台北一"	"進口"	null	250.0	50
101年01月05日	"高雄市"	"進口"	null	400.0	4
101年01月07日	"台北一"	"進口"	null	250.0	30
101年01月10日	"台北一"	"進口"	null	250.0	10
101年01月11日	"台北一"	"進口"	null	250.0	10
101年01月12日	"台北一"	"進口"	null	250.0	180
101年01月13日	"台北二"	"進口"	null	300.0	50
101年01月13日	"台北一"	"進口"	null	250.0	20
101年01月14日	"台北二"	"進口"	null	300.0	100
101年01月14日	"台北一"	"進口"	null	250.0	20
101年01月17日	"台北一"	"進口"	null	200.0	50
101年01月18日	"台北二"	"進口"	null	250.0	40
101年01月18日	"台北一"	"進口"	null	220.0	50
101年01月19日	"台北二"	"進口"	null	300.0	50
101年01月20日	"台北二"	"進口"	null	150.0	50
101年01月20日	"台北一"	"進口"	null	220.0	235
101年01月21日	"台北二"	"進口"	null	240.0	160
101年01月21日	"台北一"	"進口"	null	288.6	70
101年01月22日	"台北一"	"進口"	null	150.0	95
101年01月28日	"台北一"	"進口"	null	300.0	30
101年01月29日	"高雄市"	"進口"	null	300.0	30
102年01月01日	"台北二"	"進口"	null	250.0	30
102年01月01日	"台北一"	"進口"	null	250.0	60
102年01月03日	"台北一"	"進口"	null	250.0	10
102年01月04日	"台北一"	"進口"	null	225.0	20
102年01月08日	"台北二"	"進口"	null	250.0	10
102年01月08日	"台北一"	"進口"	null	250.0	50
102年01月10日	"台北一"	"進口"	null	250.0	15
102年01月11日	"台北一"	"進口"	null	250.0	10
102年01月12日	"台北二"	"進口"	null	250.0	10
102年01月12日	"台北一"	"進口"	null	250.0	10
102年01月13日	"台北二"	"進口"	null	250.0	30
102年01月13日	"台北一"	"進口"	null	250.0	10
102年01月15日	"台北一"	"進口"	null	250.0	50
102年01月16日	"台北一"	"進口"	null	250.0	150
102年01月17日	"台北一"	"進口"	null	160.0	160
102年01月18日	"台北一"	"進口"	null	250.0	10
102年01月19日	"台北二"	"進口"	null	50.0	60
102年01月19日	"台北一"	"進口"	null	250.0	10
102年01月20日	"台北二"	"進口"	null	185.8	40
102年01月20日	"台北一"	"進口"	null	250.0	10
102年01月22日	"台北一"	"進口"	null	250.0	20
102年01月23日	"台北二"	"進口"	null	65.0	50
102年01月24日	"台北二"	"進口"	null	80.0	50
